symbol,entry_date,entry_price,exit_date,exit_price,shares,stop,target,outcome,bars_to_resolution,pnl,r_multiple,ema200_uptrend_pct,price_vs_ema200_pct,consolidation_range_pct,bounce_off_low_pct,price_vs_poc_pct,rr_ratio_planned,weak_rr,stop_distance_sanity_flag
RIOT,2024-03-26 04:00:00,12.4312,2024-04-02 04:00:00,10.5147,2581,10.52,21.96,stop_hit,4,-4946.42,-1.002,9.47,0.55,11.99,13.63,3.11,5.0,False,False
RIOT,2026-03-26 04:00:00,14.8074,2026-03-27 04:00:00,13.5632,3827,13.57,23.1,stop_hit,1,-4761.5,-1.005,28.4,3.58,14.58,13.13,3.41,5.0,False,False
BG,2021-07-22 04:00:00,75.8479,2021-08-19 04:00:00,73.963,2164,74.0,85.41,stop_hit,20,-4078.93,-1.02,36.0,3.83,8.23,3.13,-0.81,5.0,False,False
BG,2021-08-26 04:00:00,76.1781,2021-10-08 04:00:00,84.3078,1901,74.16,87.52,expired_unresolved,30,15454.66,4.028,27.58,3.33,7.87,3.8,0.47,5.0,False,False
BG,2022-07-20 04:00:00,89.5648,2022-07-21 04:00:00,92.2439,28786,89.41,92.29,target_hit,1,77120.43,17.311,18.79,-8.75,6.46,4.95,-21.18,5.0,False,False
BG,2022-07-25 04:00:00,92.096,2022-07-27 04:00:00,89.3653,2807,89.41,98.86,stop_hit,2,-7665.16,-1.017,17.91,-7.44,6.86,6.23,2.74,5.0,False,False
BG,2022-07-29 04:00:00,89.7348,2022-09-12 04:00:00,94.8725,1261,84.0,110.32,expired_unresolved,30,6478.63,0.896,17.06,-8.9,10.9,4.31,-0.67,3.92,False,False
BG,2023-10-18 04:00:00,105.1025,2023-10-20 04:00:00,103.1184,3876,103.17,111.48,stop_hit,2,-7690.41,-1.026,5.89,2.76,8.89,3.79,-7.41,3.29,False,False
BG,2023-10-27 04:00:00,106.073,2023-11-08 05:00:00,103.1184,2474,103.17,122.18,stop_hit,8,-7309.67,-1.017,6.12,3.91,5.18,5.46,-6.32,5.0,False,False
BG,2023-11-10 05:00:00,104.152,2023-11-13 05:00:00,103.1184,7018,103.17,107.42,stop_hit,1,-7254.05,-1.052,7.01,1.23,5.47,3.02,-1.44,5.0,False,False
BG,2023-11-15 05:00:00,106.8434,2023-12-07 05:00:00,103.1184,1797,103.17,121.58,stop_hit,15,-6693.79,-1.014,7.26,3.46,4.11,4.01,0.8,5.0,False,False
BG,2026-01-05 05:00:00,92.4162,2026-01-15 05:00:00,108.4058,1531,88.28,108.46,target_hit,8,24480.05,3.865,5.18,6.84,5.09,4.65,-4.24,3.59,False,False
BG,2026-07-09 04:00:00,114.3571,2026-07-29 04:00:00,110.4547,1901,110.51,139.05,stop_hit,14,-7418.47,-1.014,27.45,4.2,12.61,9.92,-7.72,5.0,False,False
BG,2026-08-14 04:00:00,113.7669,2026-08-24 04:00:00,110.4547,2154,110.51,120.33,stop_hit,6,-7134.28,-1.017,20.59,1.37,14.49,7.36,3.64,3.2,False,False
MUR,2021-09-13 04:00:00,20.5903,2021-09-14 04:00:00,20.8396,6247,19.95,20.85,target_hit,1,1557.28,0.389,42.44,7.23,13.03,3.82,-5.5,5.0,False,False
MUR,2022-08-11 04:00:00,35.1676,2022-09-23 04:00:00,33.3183,1119,31.54,45.21,expired_unresolved,30,-2069.3,-0.509,30.79,3.97,14.99,12.51,1.17,5.0,False,False
MUR,2023-01-10 05:00:00,42.041,2023-02-06 05:00:00,40.4997,2616,40.52,48.82,stop_hit,18,-4031.96,-1.013,19.8,6.86,7.52,3.18,-0.69,5.0,False,False
MUR,2023-02-08 05:00:00,42.4012,2023-02-09 05:00:00,42.059,11887,42.08,45.45,stop_hit,1,-4068.09,-1.065,22.43,7.14,9.5,3.04,1.07,5.0,False,False
MUR,2023-02-13 05:00:00,42.6113,2023-02-15 05:00:00,42.059,6880,42.08,47.85,stop_hit,2,-3800.06,-1.04,22.46,7.96,10.48,5.18,2.75,5.0,False,False
MUR,2023-02-28 05:00:00,40.6103,2023-03-01 05:00:00,39.3703,2871,39.39,44.24,stop_hit,1,-3560.01,-1.016,21.35,0.64,12.79,4.52,-3.9,5.0,False,False
MUR,2023-03-06 05:00:00,41.2106,2023-03-07 05:00:00,40.3898,4198,40.41,47.45,stop_hit,1,-3445.72,-1.025,20.48,4.05,12.36,8.11,-1.12,5.0,False,False
MUR,2023-03-30 04:00:00,36.7384,2023-04-26 04:00:00,35.6222,2934,35.64,42.03,stop_hit,18,-3274.87,-1.016,15.9,-6.7,11.85,9.76,-12.92,5.0,False,False
MUR,2023-05-01 04:00:00,36.1731,2023-05-02 04:00:00,35.6222,5800,35.64,42.06,stop_hit,1,-3195.21,-1.033,9.58,-6.03,11.43,3.99,-5.31,5.0,False,False
MUR,2023-05-10 04:00:00,34.6223,2023-05-11 04:00:00,34.2729,8921,34.29,35.98,stop_hit,1,-3117.42,-1.052,6.24,-10.81,13.32,3.6,-10.83,5.0,False,False
MUR,2023-11-15 05:00:00,43.9219,2023-12-06 05:00:00,40.9695,968,40.99,52.1,stop_hit,14,-2857.97,-1.006,8.95,4.75,8.67,3.85,-2.79,2.76,True,False
MUR,2023-12-14 05:00:00,42.021,2024-01-11 05:00:00,39.3703,1035,39.39,48.68,stop_hit,18,-2743.47,-1.007,9.91,-1.83,7.87,3.13,-8.68,4.05,False,False
MUR,2024-01-30 05:00:00,38.8994,2024-03-13 04:00:00,43.2684,1228,36.77,49.19,expired_unresolved,30,5365.03,2.051,7.99,-6.42,8.91,3.48,-8.92,4.58,False,False
MUR,2026-02-06 05:00:00,31.2656,2026-03-20 04:00:00,38.7806,840,27.9,38.8,target_hit,29,6312.58,2.23,7.06,4.92,14.16,3.06,-3.4,3.18,False,False
MUR,2026-07-08 04:00:00,33.967,2026-07-23 04:00:00,39.6702,1244,31.49,39.69,target_hit,11,7094.76,2.301,20.32,-3.92,14.94,4.3,-16.59,4.97,False,False
VNOM,2022-07-19 04:00:00,25.6828,2022-07-26 04:00:00,29.1654,10182,25.29,29.18,target_hit,5,35459.58,8.865,33.19,-1.98,14.76,8.54,-11.71,5.0,False,False
VNOM,2022-12-13 05:00:00,31.5558,2023-01-03 05:00:00,29.1054,2224,29.12,36.99,stop_hit,13,-5449.53,-1.006,12.64,4.0,11.46,4.04,-4.92,3.45,False,False
VNOM,2023-01-09 05:00:00,31.0655,2023-02-22 05:00:00,29.2953,2817,29.22,36.04,expired_unresolved,30,-4986.6,-0.959,12.65,1.6,11.86,5.78,-7.13,5.0,False,False
VNOM,2023-03-02 05:00:00,29.4097,2023-03-08 05:00:00,29.2953,50161,29.31,31.98,stop_hit,4,-5736.04,-1.147,10.57,-1.28,12.3,4.18,-5.32,3.7,False,False
VNOM,2023-03-21 04:00:00,28.109,2023-03-24 04:00:00,26.8366,3789,26.85,30.23,stop_hit,3,-4821.4,-1.01,8.04,-8.77,14.47,4.16,-5.87,5.0,False,False
VNOM,2023-03-28 04:00:00,27.8139,2023-05-02 04:00:00,26.8366,4750,26.85,31.19,stop_hit,24,-4642.29,-1.014,7.22,-7.83,11.3,4.77,-5.32,5.0,False,False
VNOM,2025-02-04 05:00:00,47.5087,2025-02-11 05:00:00,51.7441,8468,46.99,51.77,target_hit,5,35865.13,8.164,27.84,4.51,10.81,3.36,0.06,5.0,False,False
VNOM,2025-02-18 05:00:00,49.8749,2025-02-21 05:00:00,48.2459,3631,48.27,55.06,stop_hit,3,-5915.12,-1.015,26.26,7.19,9.95,6.85,3.43,5.0,False,False
VNOM,2025-03-03 05:00:00,47.1336,2025-03-04 05:00:00,45.6272,3768,45.65,50.81,stop_hit,1,-5676.04,-1.015,23.48,0.65,14.04,4.24,-2.54,5.0,False,False
VNOM,2025-03-18 04:00:00,44.067,2025-04-03 04:00:00,42.3988,3256,42.42,47.98,stop_hit,12,-5431.77,-1.013,19.54,-4.58,13.99,8.27,-8.8,3.23,False,False
VNOM,2025-04-25 04:00:00,40.9855,2025-06-03 04:00:00,38.8106,2387,38.83,51.83,stop_hit,26,-5191.48,-1.009,10.09,-8.48,12.32,12.3,-13.28,5.0,False,False
VNOM,2026-06-05 04:00:00,46.3282,2026-06-09 04:00:00,45.7371,8693,45.76,49.54,stop_hit,2,-5137.85,-1.04,9.74,6.88,9.19,3.45,-2.81,5.0,False,False
VNOM,2026-07-09 04:00:00,42.7113,2026-07-10 04:00:00,42.5187,27625,42.54,45.38,stop_hit,1,-5320.99,-1.124,9.88,-0.81,7.44,6.28,-0.49,5.0,False,False
VNOM,2026-07-14 04:00:00,43.6918,2026-07-28 04:00:00,42.5187,3924,42.54,46.43,stop_hit,10,-4603.26,-1.018,10.06,-0.33,7.41,6.71,-0.08,5.0,False,False
VNOM,2026-07-30 04:00:00,43.2316,2026-08-04 04:00:00,42.5187,6270,42.54,46.34,stop_hit,3,-4469.73,-1.031,10.61,-0.53,8.26,3.57,-0.12,5.0,False,False
MIAX,2026-02-17 05:00:00,42.001,2026-02-18 05:00:00,41.2294,5326,41.25,46.7,stop_hit,1,-4109.62,-1.027,26.55,6.94,5.92,4.0,-1.1,5.0,False,False
MIAX,2026-02-26 05:00:00,41.6308,2026-03-11 04:00:00,39.3303,1681,39.35,49.12,stop_hit,9,-3867.11,-1.008,26.22,3.8,8.02,5.17,0.79,5.0,False,False
MIAX,2026-03-17 04:00:00,39.9149,2026-04-28 04:00:00,46.8366,1233,36.93,46.86,target_hit,29,8534.36,2.319,24.4,-0.37,12.29,3.84,-2.83,2.85,True,False
MIAX,2026-07-23 04:00:00,41.6058,2026-07-28 04:00:00,43.6182,11305,41.25,43.64,target_hit,3,22750.04,5.656,7.37,-0.04,11.17,6.96,-1.6,3.36,False,False
MIAX,2026-08-07 04:00:00,45.5978,2026-08-19 04:00:00,41.7491,1288,41.77,58.09,stop_hit,8,-4957.09,-1.005,7.38,7.68,11.85,9.08,6.9,3.48,False,False
AKR,2021-09-15 04:00:00,20.5303,2021-09-20 04:00:00,19.7201,4998,19.73,23.69,stop_hit,3,-4049.0,-1.012,35.05,7.6,6.88,3.05,-5.36,3.35,False,False
AKR,2021-09-29 04:00:00,20.6703,2021-11-11 05:00:00,22.8086,4262,19.77,24.51,expired_unresolved,30,9113.26,2.374,31.12,7.12,4.21,3.22,-3.12,4.24,False,False
AKR,2021-12-03 05:00:00,21.0705,2021-12-07 05:00:00,22.1789,12341,20.73,22.19,target_hit,2,13678.46,3.255,19.51,3.47,13.88,5.32,-6.84,5.0,False,False
AKR,2021-12-10 05:00:00,21.6308,2021-12-13 05:00:00,20.7196,5272,20.73,26.03,stop_hit,1,-4803.71,-1.011,18.1,6.25,11.75,8.54,-4.0,5.0,False,False
AKR,2021-12-15 05:00:00,20.6253,2021-12-20 05:00:00,19.7301,5147,19.74,25.29,stop_hit,3,-4607.48,-1.011,17.19,2.12,12.22,4.42,-7.64,4.29,False,False
AKR,2021-12-22 05:00:00,21.3607,2022-01-20 05:00:00,20.7196,6934,20.73,24.47,stop_hit,19,-4444.97,-1.016,15.92,4.8,11.01,7.23,-5.2,5.0,False,False
AKR,2022-02-11 05:00:00,20.06,2022-02-14 05:00:00,19.7201,12712,19.73,21.47,stop_hit,1,-4320.68,-1.03,9.51,-2.39,5.39,4.3,-10.38,5.0,False,False
