as_of_date,ticker,entry_price,predicted_price,predicted_return_pct,confidence,rf_confidence,gb_confidence,rf_r2,gb_r2,agreement_pct,actual_price,actual_return_pct,direction_correct
2024-12-03,PATH,14.37,14.88,3.55,0.0,0.0,0.0,0.0,0.0,1.6,14.71,2.37,True
2024-12-17,PATH,13.91,14.28,2.66,0.0,0.0,0.0,0.0,0.0,3.4,13.11,-5.75,False
2025-01-02,PATH,12.93,13.02,0.7,0.0,0.0,0.0,0.0,0.0,1.7,12.98,0.39,True
2025-01-17,PATH,13.02,13.02,0.0,0.0,0.0,0.0,0.0,0.0,1.6,13.765,5.72,False
2025-02-03,PATH,14.22,14.72,3.52,0.6,1.1,0.0,0.0,0.0,1.8,14.22,0.0,False
2025-02-18,PATH,14.91,15.3,2.62,0.1,0.0,0.2,0.0,0.0,0.3,12.63,-15.29,False
2025-03-04,PATH,11.77,11.95,1.53,0.0,0.0,0.0,0.0,0.0,0.2,11.73,-0.34,False
2025-03-18,PATH,10.76,10.88,1.12,0.0,0.0,0.0,0.0,0.0,1.0,11.33,5.3,True
2025-04-01,PATH,10.5,10.81,2.95,0.0,0.0,0.0,0.0,0.0,1.7,9.88,-5.9,False
2025-04-15,PATH,10.57,10.5,-0.66,0.0,0.0,0.0,0.0,0.0,1.3,10.865,2.79,False
2025-04-30,PATH,11.94,12.11,1.42,0.2,0.5,0.0,0.0,0.0,1.6,12.1,1.34,True
2025-05-14,PATH,13.21,13.59,2.88,0.0,0.0,0.0,0.0,0.0,3.0,12.215,-7.53,False
2025-05-29,PATH,12.95,12.75,-1.54,0.0,0.0,0.0,0.0,0.0,2.6,13.27,2.47,False
2025-06-12,PATH,12.66,12.59,-0.55,0.0,0.0,0.0,0.0,0.0,1.5,12.185,-3.75,True
2025-06-27,PATH,12.73,12.59,-1.1,0.0,0.0,0.0,0.0,0.0,1.9,13.16,3.38,False
2025-07-14,PATH,12.465,12.8,2.69,0.0,0.0,0.0,0.0,0.0,0.8,12.46,-0.04,False
2025-07-28,PATH,12.24,12.25,0.08,0.0,0.0,0.0,0.0,0.0,0.6,11.35,-7.27,False
2025-08-11,PATH,10.445,10.61,1.58,0.0,0.0,0.0,0.0,0.0,1.4,11.16,6.85,True
2025-08-25,PATH,11.025,11.0,-0.23,0.0,0.0,0.0,0.0,0.0,1.1,10.9,-1.13,True
2025-09-09,PATH,11.905,11.93,0.21,0.0,0.0,0.0,0.0,0.0,1.6,11.57,-2.81,False
2025-09-23,PATH,12.525,12.66,1.08,0.0,0.0,0.0,0.0,0.0,2.4,13.38,6.83,True
2025-10-07,PATH,14.83,14.97,0.94,0.0,0.0,0.0,0.0,0.0,1.7,16.45,10.92,True
2025-10-21,PATH,16.285,16.44,0.95,0.0,0.0,0.0,0.0,0.0,0.8,16.15,-0.83,False
2025-11-04,PATH,14.265,13.5,-5.36,0.9,0.0,1.8,0.0,0.0,4.8,14.37,0.74,False
2025-11-18,PATH,13.75,13.65,-0.73,2.7,2.7,2.6,0.037087748775760265,0.07862079332267036,2.6,13.63,-0.87,True
2025-12-03,PATH,14.88,14.28,-4.03,2.2,1.0,3.4,0.014647701154993031,0.05043375524163751,1.4,18.7,25.67,False
2025-12-17,PATH,15.96,15.31,-4.07,1.2,1.2,1.2,0.0,0.0,2.1,17.145,7.42,False
2026-01-02,PATH,15.9,15.15,-4.72,0.8,0.0,1.5,0.0,0.0,3.3,16.31,2.58,False
2026-01-16,PATH,14.33,13.58,-5.23,0.8,0.0,1.6,0.0,0.0,1.6,14.915,4.08,False
2026-02-02,PATH,12.55,12.79,1.91,0.7,0.8,0.6,0.0,0.0,3.1,12.99,3.51,True
2026-02-17,PATH,10.96,11.13,1.55,1.4,1.9,1.0,0.0,0.0,2.1,10.1,-7.85,False
2026-03-03,PATH,11.05,11.22,1.54,0.8,1.3,0.3,0.0,0.0,2.9,11.59,4.89,True
2026-03-17,PATH,11.98,11.27,-5.93,3.0,3.0,3.0,0.0,0.0,4.2,11.08,-7.51,True
2026-03-31,PATH,11.12,10.66,-4.14,2.3,2.4,2.3,0.0,0.0,0.4,10.4,-6.47,True
2026-04-15,PATH,10.6,10.38,-2.08,1.9,1.3,2.5,0.0,0.0,3.4,10.87,2.55,False
2026-04-29,PATH,10.39,10.18,-2.02,1.3,1.7,0.9,0.0,0.0,3.5,10.5,1.06,False
