as_of_date,ticker,smartscore,setup,near_miss,has_signal,setup_strength,trend_context,volume_bonus,base_tightness_bonus,meaningful_level_bonus,fibonacci_bonus,entry_price,actual_price,actual_return_pct,direction_correct
2025-08-25,EFA,100.0,Breakout,False,True,20.82879406843376,10.0,5.0,12.0,0.0,15.0,92.0,94.48,2.7,True
2025-09-09,EFA,83.0,Breakout,False,True,21.090332407164688,10.0,5.0,12.0,0.0,-15.0,92.4,94.605,2.39,True
2025-09-23,EFA,100.0,Breakout,False,True,19.10461147418986,10.0,0.0,12.0,0.0,10.0,93.13,93.56,0.46,True
2025-10-21,EFA,79.0,Breakout,False,True,17.364529848997435,10.0,0.0,12.0,0.0,-10.0,94.605,95.56,1.01,True
2025-11-04,EFA,100.0,Pullback,False,True,30.354046192004898,10.0,0.0,0.0,10.0,15.0,93.56,94.14,0.62,True
2025-11-18,EFA,100.0,Pullback,False,True,39.309204271530916,10.0,15.0,0.0,10.0,15.0,92.82,97.03,4.54,True
2025-12-03,EFA,77.0,Breakout,False,True,20.561155440381597,10.0,0.0,12.0,0.0,-15.0,95.56,99.53,4.15,True
2025-12-17,EFA,100.0,Pullback,False,True,24.071185294499035,10.0,15.0,0.0,10.0,15.0,94.14,101.43,7.74,True
2026-01-02,EFA,85.0,Breakout,False,True,26.360309793856295,10.0,15.0,12.0,0.0,-15.0,97.03,104.2,7.39,True
2026-01-16,EFA,82.0,Breakout,False,True,35.830432029297725,10.0,-10.0,12.0,0.0,-15.0,99.53,100.1,0.57,True
2026-02-02,EFA,85.0,Breakout,False,True,30.793641588018843,10.0,5.0,12.0,0.0,-15.0,101.43,98.37,-3.02,False
2026-02-17,EFA,85.0,Breakout,False,True,34.04921308644626,10.0,5.0,12.0,0.0,-15.0,104.2,97.135,-6.78,False
2026-03-03,EFA,100.0,Pullback,False,True,40.0,10.0,15.0,0.0,8.0,15.0,100.1,103.31,3.21,True
2026-03-17,EFA,,,False,False,,,,,,,98.37,99.94,1.6,True
2026-03-31,EFA,,,False,False,,,,,,,97.135,103.86,6.92,True
2026-04-15,EFA,66.0,Breakout,False,True,31.244597512398116,10.0,-10.0,0.0,0.0,-15.0,103.31,104.685,1.33,True
2026-04-29,EFA,100.0,Pullback,False,True,26.581767004451223,10.0,-10.0,0.0,10.0,15.0,99.94,104.69,4.75,True
2026-05-13,EFA,73.0,Breakout,False,True,21.209026896735992,10.0,-10.0,12.0,0.0,-10.0,103.86,102.55,-1.26,False
2025-01-17,FLNC,,,False,False,,,,,,,14.425,5.215,-63.85,False
2026-05-13,FLNC,90.0,Breakout,False,True,35.73179805865837,10.0,15.0,0.0,0.0,-10.0,22.12,19.25,-12.97,False
2025-03-04,GAP,,,False,False,,,,,,,20.08,18.71,-6.82,False
2025-05-14,GAP,100.0,Breakout,False,True,40.0,10.0,15.0,0.0,0.0,0.0,26.22,21.89,-16.51,False
2025-05-29,GAP,84.0,Breakout,False,True,34.52934345283184,10.0,5.0,0.0,0.0,-15.0,27.94,21.44,-23.26,False
2025-06-12,GAP,100.0,Pullback,False,True,38.4568198843305,10.0,5.0,0.0,0.0,15.0,21.6,20.39,-5.6,False
2025-07-14,GAP,,,False,False,,,,,,,21.44,21.51,0.33,True
2025-08-25,GAP,,,False,False,,,,,,,21.51,21.055,-2.12,False
2025-09-09,GAP,85.0,Breakout,False,True,40.0,10.0,0.0,0.0,0.0,-15.0,24.07,22.18,-7.85,False
2025-12-17,GAP,69.0,Breakout,False,True,24.350746854465825,10.0,0.0,0.0,0.0,-15.0,27.2,28.66,5.37,True
2026-05-13,GAP,,,False,False,,,,,,,21.01,20.2,-3.86,False
2024-09-09,HYG,81.0,Breakout,False,True,24.898230662003144,10.0,0.0,12.0,0.0,-15.0,79.32,79.5,0.23,True
2024-09-23,HYG,85.0,Breakout,False,True,37.267973835405684,10.0,5.0,12.0,0.0,-15.0,80.1,78.945,-1.44,False
2024-10-07,HYG,100.0,Pullback,False,True,36.853218716107364,10.0,15.0,0.0,10.0,15.0,79.27,79.37,0.13,True
2024-10-21,HYG,100.0,Pullback,False,True,24.727113846007796,10.0,5.0,0.0,10.0,10.0,79.5,79.64,0.18,True
2024-11-04,HYG,100.0,Pullback,False,True,39.24379691599505,10.0,0.0,0.0,10.0,15.0,78.945,79.41,0.59,True
2024-11-18,HYG,60.0,,True,True,0.0,10.0,-10.0,0.0,10.0,0.0,79.37,78.85,-0.66,False
2024-12-03,HYG,60.0,,True,True,0.0,10.0,-10.0,0.0,10.0,0.0,79.64,79.43,-0.26,False
2024-12-17,HYG,100.0,Pullback,False,True,33.516150926236364,10.0,0.0,0.0,10.0,15.0,79.41,79.27,-0.18,False
